model	metric	n_evals	min	max	spread	mean	std
geoformerdock	Balanced Accuracy	21	0.62575	0.82949	0.20373999999999992	0.7701714285714286	0.05643302168105497
pafnucy	Balanced Accuracy	21	0.69486	0.78967	0.09480999999999995	0.756614761904762	0.02643145918157225
gnina_dense	Balanced Accuracy	21	0.58598	0.78706	0.20108000000000004	0.7325857142857143	0.045348212079149394
gnina_default2018	Balanced Accuracy	21	0.65617	0.76145	0.10527999999999993	0.7219119047619049	0.028797521655773428
geoformerdock	PR AUC	21	0.56299	0.64586	0.08287	0.6157704761904762	0.024558613749498415
pafnucy	PR AUC	21	0.49536	0.56215	0.06679000000000002	0.5412909523809525	0.017364867351655457
gnina_dense	PR AUC	21	0.44302	0.51918	0.07615999999999995	0.486425238095238	0.024873281633693303
gnina_default2018	PR AUC	21	0.45195	0.49148	0.039529999999999954	0.4750547619047619	0.012031188683325799
