model	pi_implied	status	summary_Accuracy	summary_Balanced Accuracy	summary_C-index	summary_MAE	summary_PR AUC	summary_Pearson R	summary_Pose Recall Neg	summary_Pose Recall Pos	summary_RMSE	summary_Spearman Rho	summary_json_best_epoch_field	true_Accuracy	true_Balanced Accuracy	true_C-index	true_MAE	true_PR AUC	true_Pearson R	true_Pose Recall Neg	true_Pose Recall Pos	true_RMSE	true_Spearman Rho	true_epoch
gnina_dense	0.13490688609787851	ok	0.7605023819835427	0.7870616762124405	0.7989599704742432	1.026113739748445	0.5098665223532226	0.7986993789672852	0.7506883604505632	0.8234349919743178	1.3239707448121651	0.7839438355642648	None	0.7605023819835427	0.7870616762124405	0.7989599704742432	1.026113739748445	0.5098665223532226	0.7986993789672852	0.7506883604505632	0.8234349919743178	1.3239707448121651	0.7839438355642648	100
gnina_default2018	0.13490688609787796	ok	0.6271113035946297	0.7614486004777239	0.7920599579811096	1.0455264463470606	0.4861935584179984	0.7752435207366943	0.5774718397997497	0.9454253611556982	1.3813619373888268	0.7656861815922645	None	0.6271113035946297	0.7614486004777239	0.7920599579811096	1.0455264463470606	0.4861935584179984	0.7752435207366943	0.5774718397997497	0.9454253611556982	1.3813619373888268	0.7656861815922645	100
pafnucy	0.134906886097878	ok	0.6888263317453444	0.7896666579612959	0.7847999930381775	1.1494277782654494	0.5621548469285659	0.7684327363967896	0.6515644555694619	0.92776886035313	1.4172574893324503	0.7561777830915243	None	0.6888263317453444	0.7896666579612959	0.7847999930381775	1.1494277782654494	0.5621548469285659	0.7684327363967896	0.6515644555694619	0.92776886035313	1.4172574893324503	0.7561777830915243	100
potentialnet	0.13490688609787788	ok	0.13490688609787788	0.5	0.6929799914360046	1.4319780328300562	0.15822074022531318	0.5803605914115906	0.0	1.0	1.7816151663091084	0.5388437897202031	None	0.13490688609787788	0.5	0.7149400115013123	1.4239686136261036	0.1498407299179676	0.6139569282531738	0.0	1.0	1.7602296616536004	0.6006684050219636	52
equibind		missing_checkpoint																						
tankbind	0.1349068860978779	ok	0.14161974880900824	0.5038798498122653	0.6092399954795837	1.6973706485754414	0.16867427930414491	0.33531007170677185	0.007759699624530663	1.0	2.103507441007518	0.32780282244125203	None	0.14573408401905588	0.5055804105051057	0.6359599828720093	1.6179528397120786	0.17330083639003419	0.40492790937423706	0.01276595744680851	0.9983948635634029	2.0117452971549357	0.39353646586688673	94
geoformerdock	0.13490688609787857	ok	0.3878302295365959	0.6427956695468051	0.7643199563026428	1.2010317782529094	0.6320796082190814	0.7384577393531799	0.2936170212765957	0.9919743178170144	1.4912381203621332	0.7234925143601223	None	0.813988739714162	0.8294913184016135	0.7706800103187561	1.221044157710925	0.6305963926908555	0.7521601319313049	0.8082603254067584	0.8507223113964687	1.5247395413901192	0.732240730316523	94
