Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
68,0.75058,0.62753,0.62947,0.58675,0.91441,0.33126,0.47804,0.82097,1.07509,0.85309,0.85187,0.83422,2.51092,1.50800,1.00000,1.00000,1.00000,0.49607
70,0.74139,0.59373,0.66386,0.54479,0.93800,0.31889,0.48135,0.80870,1.06303,0.85469,0.85281,0.83404,2.49804,1.47191,1.00000,1.00000,1.00000,0.48537
72,0.71828,0.54368,0.69890,0.48581,0.95076,0.29097,0.47886,0.78815,1.04325,0.86037,0.85825,0.83654,2.98735,1.80960,0.00000,1.00000,1.00000,0.46984
74,0.68528,0.47126,0.75917,0.40033,0.97022,0.25576,0.48564,0.79126,1.04383,0.86097,0.85782,0.83646,3.09036,1.87920,1.00000,1.00000,1.00000,0.47176
76,0.72089,0.55142,0.68701,0.49526,0.94651,0.29376,0.47421,0.78981,1.04378,0.86135,0.85848,0.83730,2.57530,1.53378,0.00000,0.00000,0.00000,0.46841
78,0.69847,0.49398,0.72448,0.42621,0.97074,0.27040,0.48624,0.76681,1.02180,0.86749,0.86537,0.84370,3.02598,1.78640,1.00000,1.00000,1.00000,0.45270
80,0.74367,0.59732,0.65719,0.54882,0.93852,0.32183,0.48722,0.78807,1.03976,0.86173,0.85862,0.83724,2.71694,1.69618,1.00000,1.00000,1.00000,0.46663
82,0.75153,0.62028,0.63501,0.57678,0.92627,0.33225,0.49299,0.77317,1.02666,0.86543,0.86483,0.84150,2.63968,1.48738,1.00000,1.00000,1.00000,0.45647
84,0.72437,0.55279,0.68229,0.49592,0.95282,0.29841,0.49268,0.77412,1.02855,0.86839,0.86664,0.84174,3.11611,1.89724,1.00000,1.00000,1.00000,0.45952
86,0.75539,0.62957,0.63047,0.58787,0.92292,0.33762,0.50383,0.75853,1.01023,0.87359,0.87156,0.84566,2.74269,1.66782,1.00000,1.00000,1.00000,0.44688
88,0.76277,0.64219,0.62165,0.60223,0.92330,0.34791,0.50081,0.76635,1.01564,0.87183,0.86925,0.84490,2.72982,1.66009,1.00000,1.00000,1.00000,0.44902
90,0.75738,0.62676,0.63083,0.58347,0.93130,0.34011,0.50149,0.73965,0.98526,0.87831,0.87602,0.84836,2.39503,1.53893,0.00000,1.00000,1.00000,0.43058
92,0.74106,0.58521,0.65849,0.53356,0.94857,0.31875,0.50177,0.77044,1.01932,0.87545,0.87426,0.84580,2.38215,1.51831,1.00000,1.00000,1.00000,0.45550
94,0.76448,0.64896,0.61629,0.61068,0.91828,0.35063,0.50590,0.74435,0.98941,0.87740,0.87597,0.84872,2.81995,1.79413,0.00000,1.00000,1.00000,0.43240
96,0.73828,0.57666,0.67107,0.52310,0.95347,0.31546,0.50033,0.71609,0.96637,0.88170,0.88031,0.85204,2.72982,1.71164,1.00000,1.00000,1.00000,0.41076
98,0.71437,0.52802,0.70802,0.46626,0.96249,0.28746,0.49842,0.74985,0.99950,0.87491,0.87304,0.84528,2.74269,1.68844,1.00000,1.00000,1.00000,0.43716
100,0.76556,0.64301,0.62125,0.60240,0.92872,0.35157,0.50620,0.71715,0.97234,0.88077,0.87883,0.85192,2.52379,1.64720,1.00000,1.00000,1.00000,0.41600
