Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
68,0.76138,0.64712,0.62424,0.60925,0.91351,0.34648,0.45938,0.96971,1.26717,0.82711,0.82966,0.81562,3.70843,2.39218,1.00000,1.00000,1.00000,0.63935
70,0.72033,0.53912,0.69960,0.47907,0.96159,0.29432,0.48274,0.74700,1.00639,0.87852,0.88055,0.85338,3.01310,1.99520,1.00000,1.00000,1.00000,0.43927
72,0.59149,0.28806,0.95277,0.18750,0.99549,0.16284,0.43421,0.69929,0.91873,0.90157,0.90454,0.86870,2.56242,1.90756,1.00000,1.00000,1.00000,0.38877
74,0.77955,0.68725,0.59058,0.65667,0.90242,0.37484,0.48726,0.64505,0.86779,0.90847,0.91260,0.87642,2.87146,2.15760,0.00000,1.00000,1.00000,0.34794
76,0.76364,0.64129,0.61578,0.60075,0.92653,0.34897,0.49063,0.67017,0.91323,0.91223,0.91213,0.87550,2.29202,1.62916,1.00000,1.00000,1.00000,0.37337
78,0.71333,0.52571,0.72247,0.46353,0.96313,0.28632,0.48166,0.69301,0.91178,0.90164,0.90506,0.86898,2.22763,1.72453,1.00000,1.00000,1.00000,0.37817
80,0.77224,0.65665,0.60482,0.61834,0.92614,0.36132,0.49867,0.58493,0.80432,0.92000,0.92389,0.88238,2.36927,1.75289,0.00000,1.00000,1.00000,0.30255
82,0.76896,0.65555,0.60384,0.61797,0.91995,0.35700,0.49233,0.63741,0.85243,0.91661,0.91734,0.88050,2.94872,1.94107,0.00000,1.00000,1.00000,0.34331
84,0.72353,0.54493,0.69854,0.48574,0.96133,0.29808,0.47382,0.58785,0.80469,0.92273,0.92561,0.88808,2.79420,1.79929,1.00000,1.00000,1.00000,0.30453
86,0.78372,0.76485,0.51999,0.75860,0.80884,0.40428,0.48919,0.65799,0.87609,0.91387,0.91686,0.87570,2.74269,1.80187,1.00000,1.00000,1.00000,0.35978
88,0.77971,0.71939,0.54562,0.69940,0.86002,0.38243,0.49852,0.63719,0.87188,0.90865,0.91056,0.87362,2.87146,1.80702,1.00000,1.00000,1.00000,0.34691
90,0.69628,0.48685,0.75590,0.41745,0.97512,0.26862,0.47784,0.71319,0.94876,0.90772,0.91054,0.87126,2.98735,1.65236,1.00000,1.00000,1.00000,0.40737
92,0.73985,0.57669,0.67415,0.52262,0.95708,0.31757,0.50278,0.51960,0.71616,0.93691,0.93973,0.89732,2.18900,1.73227,1.00000,1.00000,1.00000,0.25247
94,0.71614,0.52385,0.70974,0.46012,0.97216,0.29054,0.50891,0.47637,0.68034,0.94440,0.94751,0.90538,2.65256,1.95653,1.00000,1.00000,1.00000,0.22568
96,0.75688,0.62365,0.63809,0.57949,0.93426,0.33935,0.49170,0.59331,0.79575,0.92292,0.92604,0.88170,3.05173,1.75804,1.00000,1.00000,1.00000,0.30516
98,0.73349,0.55723,0.68311,0.49882,0.96816,0.31049,0.50823,0.49164,0.70003,0.94025,0.94452,0.90248,2.83283,1.89982,1.00000,1.00000,1.00000,0.23946
100,0.79634,0.76479,0.51818,0.75433,0.83836,0.41961,0.49753,0.56293,0.78268,0.92473,0.92828,0.89166,2.47229,1.73742,0.00000,1.00000,1.00000,0.28875
