Epoch,Balanced Accuracy,Accuracy,Pose Loss,Pose Recall Neg,Pose Recall Pos,MCC,PR AUC,MAE,RMSE,Pearson R,Spearman Rho,C-index,EF_1pct,EF_5pct,Success_at_1,Success_at_5,Success_at_10,Affinity Loss
68,0.74337,0.57594,0.66620,0.52029,0.96646,0.32272,0.53105,0.69454,0.93195,0.89110,0.89333,0.85988,2.30156,1.53291,1.00000,1.00000,1.00000,0.39442
70,0.73024,0.54877,0.69474,0.48846,0.97202,0.30724,0.52666,0.70201,0.94693,0.88540,0.88500,0.85572,2.73407,1.57617,0.00000,1.00000,1.00000,0.40277
72,0.75605,0.60440,0.64238,0.55400,0.95811,0.33849,0.52362,0.72341,0.96636,0.88858,0.89018,0.85760,2.91943,1.67507,1.00000,1.00000,1.00000,0.42217
74,0.75225,0.59449,0.64607,0.54206,0.96244,0.33368,0.52204,0.69860,0.94079,0.89548,0.89602,0.86372,2.22433,1.64107,1.00000,1.00000,1.00000,0.39998
76,0.74062,0.56916,0.67436,0.51216,0.96908,0.31949,0.52301,0.67462,0.91176,0.89400,0.89455,0.86298,2.88854,1.83578,1.00000,1.00000,1.00000,0.37874
78,0.75118,0.58950,0.65515,0.53576,0.96661,0.33247,0.52761,0.68251,0.91650,0.89694,0.89857,0.86198,2.33246,1.69979,1.00000,1.00000,1.00000,0.38314
80,0.78594,0.68701,0.56863,0.65412,0.91776,0.38322,0.52651,0.64817,0.87608,0.90321,0.90401,0.86996,2.11620,1.52982,1.00000,1.00000,1.00000,0.35583
82,0.77115,0.64058,0.60893,0.59718,0.94512,0.35900,0.52855,0.64100,0.87523,0.90372,0.90606,0.87126,2.23977,1.44328,1.00000,1.00000,1.00000,0.35528
84,0.75178,0.59357,0.64631,0.54098,0.96259,0.33310,0.53613,0.63021,0.86159,0.90523,0.90647,0.86974,2.59505,1.55145,0.00000,1.00000,1.00000,0.34067
86,0.76407,0.62122,0.62474,0.57374,0.95440,0.34906,0.54299,0.63015,0.85934,0.90753,0.90972,0.87210,2.36335,1.58854,1.00000,1.00000,1.00000,0.34073
